Kod,Tarih,Acilis,Dusuk,Yuksek,Kapanis,Miktar,Hacim
AKBNK,2009-01-02,3.325165604,3.24306275,3.37990084,3.256746559,5675240.782,20648078.06
AKBNK,2009-01-05,3.338849413,3.338849413,3.475687504,3.434636077,9757620.053,36333686.5
AKBNK,2009-01-06,3.420952267,3.407268458,3.523580835,3.523580835,7968531.448,30369798.24
AKBNK,2009-01-07,3.45516179,3.318323699,3.489371313,3.352533222,6138554.532,22846660.3
AKBNK,2009-01-08,3.270430368,3.160959895,3.297797986,3.202011322,10019090.85,35564902.82
AKBNK,2009-01-09,3.24306275,3.174643704,3.311481795,3.202011322,12034433.8,42773673.68
AKBNK,2009-01-12,3.147276086,2.983070377,3.147276086,3.010437995,10604702.88,35861156.18
AKBNK,2009-01-13,2.983070377,2.873599905,3.037805614,3.010437995,21719963.65,70321848.2
AKBNK,2009-01-14,3.037805614,2.777813241,3.051489423,2.79149705,27382231.43,87250148.54
AKBNK,2009-01-15,2.79149705,2.777813241,2.914651332,2.859916096,25167625.46,78658108.88
AKBNK,2009-01-16,2.969386568,2.900967523,2.983070377,2.94201895,21678860.68,69922333.08
AKBNK,2009-01-19,2.955702759,2.818864668,2.969386568,2.873599905,18854967.28,59735340.42
AKBNK,2009-01-20,2.846232287,2.832548477,2.94201895,2.873599905,18136255.92,57367931.04
AKBNK,2009-01-21,2.832548477,2.818864668,3.010437995,3.010437995,18297769.21,58308932.58
AKBNK,2009-01-22,3.078857041,2.996754186,3.24306275,3.119908468,27435540.76,93605981.88
AKBNK,2009-01-23,3.119908468,3.037805614,3.174643704,3.119908468,21717631.71,73898575.88
AKBNK,2009-01-26,3.119908468,3.106224659,3.352533222,3.338849413,16881221.96,59760582.26
AKBNK,2009-01-27,3.338849413,3.22937894,3.393584649,3.270430368,17655158.61,63990721.3
AKBNK,2009-01-28,3.352533222,3.297797986,3.407268458,3.407268458,18212807.34,67084051.36
AKBNK,2009-01-29,3.37990084,3.270430368,3.393584649,3.284114177,11450331.07,41840795.1
AKBNK,2009-01-30,3.215695131,3.202011322,3.325165604,3.270430368,15514225.47,55545656.12
AKBNK,2009-02-02,3.256746559,3.147276086,3.256746559,3.147276086,7918524.699,27912148
AKBNK,2009-02-03,3.202011322,3.160959895,3.22937894,3.215695131,10516981.07,36907123.06
AKBNK,2009-02-04,3.24306275,3.22937894,3.338849413,3.270430368,12755223.78,45758694.34
AKBNK,2009-02-05,3.22937894,3.202011322,3.256746559,3.22937894,7413307.996,26311782.4
AKBNK,2009-02-06,3.284114177,3.270430368,3.407268458,3.366217031,12946340.33,47741356.76
AKBNK,2009-02-09,3.393584649,3.325165604,3.434636077,3.338849413,10237854.71,38024790.84
